Nutrition- Qidalanma aləti,"0 yemək qeyd edildi.Səhər yeməyi, Nahar, Şam, Qəlyanaltı, Əmizdirmə. 0 qida. İstənilən qida. İstənilən vaxt. Add custom food-da kalori. e.g. Plov. Əlavə et. Vitamins kontenti, Tips kontenti, Su-da su əlavə et və tip mətni",Ərzaqların adı,,Əhval qrafiki. orta enerji. əhval qeydləri əlavə edin. enerji. ,
Blogs,"Ana blogqu, 57 məqalə. Hamısı.Saxlanılanlar. Hamiləlik.- kateqoriya adları. Bütün məqalələr.  Saxla. 1 baxış. 18 aprel. Şərhlər. Şərhinizi yazın. Oxşar məqalələr.",Və Kontent,,tsikl statisytikası. 2 tsikl. orta tsikl. orta period. diapazon. variasiya,
Shared shopping- Ortaq alış veriş,Aşağı Orta Yüksək. Platformanın tövsiyələri. Məhsulların adları. Alınmış məhsullar. Shared list mətni.,,,latest cycles. davam edir. tarix,
Safety Inquiry,"AI İlə axtarıŞ  edin. Ai ilə axtar. Axtarılır.  Flying yazıb axtaranDa uçmaq üzrə nətİcə çıxır. Bağla. Kateqoriya adları, siyahı və mətni.Tövsiylər və mətni. ",,,simtopm pattern analizi. mətni.,
Peyvənd təqvimi,Cəmi. Tamam. Qalan. Gecikən. Milli İmmunizasiya qrafiki. Yaxınlaşan. Tam qrafik. Tamamlanmış,Peyvənd siyahısı və kontenti. Ölkəyə uyğun.,,Həb xatırtlatma mətni,
Maternity caculator,Dekret Kalkulyatoru. Hesabla. Bələdçi.Aylıq əmək haqqınız.AZN. Hamiləlik növü. ,Bələdçi kontenti- Ölkəyə uyğun,,Xatırlatalar. aktiv.Heç bir xatırlatma yoxdur. tənzimləmələrdən xatırlatmalar əlavə edin. ,
Kick counter,Başlamaq üçün düyməyə toxunun. Başla. Dayandır. 0\10 təpik. Həkimlər gündə ən azı 10 hərəkət hiss etməyi tövsiyyə edirlər.  Son sessiyalar. ,,,Yüksək. 7-8 saat. protein. fokus qida intensiv.ə ,
Contraction timer,Hazır.Sancı başladı. Sancı bitdi.  Sancı müddəti. 5-1-1 qaydası və mətni. Sancılar. Müddət,,,Cəmiyyətdə-digər qadınlar ilə əlaqədə olun. ,
Blood sugar tracker,Əlavə et. Qeyd et.,,,,
Weight tracker,Çəki izləyici. Az. Başlanğıc. İndi. Al Analiz və mətni. Son 7 qeyd. Tarixçə. Tarixçəni sıfırla. Yadda saxla.,,,,
Vitamin tracker,Vitamin əlavə et. Vitamin adları. Həftə günləri.,,,,
Pregnancy album,1-ci ay. 1. Həftə. Tip mətni. Fiziki albom və mətni. Əlavə edəndə Bax və Sil,,,,
Baby names,Ad. Seçilmiş.Seçilmişlər. Nəticələr. Ölkə. Seçilmişlərə əlavə et. ,Ölkəyə görə adlar siyahı,,,
Hospital bag,Orta. Ana. Siyahı,,,,
Baby monthly album,Şəkil əlavə edəndə Bax və sil.  Aylar. Fiziki albom və mətni.,,,,
Daily insights,,,,,
White noise,Sleep sounds. Limitsiz. Dəqiqə. Adları. Taymer.,,,,
Mood diary,Əhval gündəliyi. Qeyd . Analiz. Siptomlar və adları. Yadda saxla. History-Tarixlər. Aİ analizi və mətni.Həftənin günləri. Feelings adlarış,,,,
Pill reminder,,,,,
Symptom patterns,,,,,
Teething tracker,Atlasın dişlərini izləyin. Diş diaqramı. Care tips kontenti. Simptomlar kontenti. ,,,,
Baby growth tracker,İnkişaf izləyicisi. kq. sm. qeyd. çəki. boy. baş yenilə. ölçünü redaktə et. tarix.,,,,
AI fairy tales,Ağıllı nağıllar. Sevimli. Oxunub. Hamısı. X üçün. 3 dəqiqəlik oxu. Tarix. X üçün yazıldı. 2 dəq.Yeni nağıl yarat. Seçimlə. Sərbəst yaz. Addım 1\5. Sərbəst yaz. Example name. Yaş qrupu. Nağılın dili. Davam et. Nağıl yarat. ,,,,
Cry translator,yazmağa başlayın. Səs yazılır.Aİ analiz edir. Cavablandırma ingiliscə olmalıdır. Analiz tamamlandı. Körpə ağlaması aşkar edilmədi və mətni. Yenidən cəhd et. Ortamda körpə ağlaması eşidilmədi. Ağlama aşkarlanmadı. Körpəniz ağlayanda 3-10 saniyə səs yazın. AI ağlamanın səbəbini analiz edəcək. ,,,,
Weather Clothing,Hava geyim. 7 aylıq körpə üçün. 7 ay (241 gün) Bakı İnzitabi ərazisi. Çıxmaq olar. Hiss. Mülayim qismən buludlu. 7 aylıq körpə  üçün bayır geyimi və mətni. Ev daxilində mətni. Bayırda gəzmə və mətni. Xəbərdarlıqlar mətni. UV Alert mətni. Geyimlərin adları.,,,,
Noise Meter,Başlamaq üçün toxunun.  Orta. Maks.  Dayandırmaq üçün toxunun. Körpə yuxusu üçün səs səviyyələri. Son ölçmələr. ,,,,
Community,Digər analar ilə əlaqədə olun. Axtar. New post-da heşteqlərƏlavə et.  Qalereyadan. Kamera. Populyar. 5 Gün əvvəl. Paylaşımlar. Anonim olaraq yaz. Cavab. Şikayət et. Sil. Mesajlar. ,,,,
Anacan AI,Onlayn. Və  AI-ın ingiliscə cavablaması.,,,,
Profil,Abunəliyim. Premium Aylıq. Akitv. Qiymət valyuta. Başkama tarix. Plana daxildir. Abunəliyi ləğv et. Son ödəniş Tam tarixçəni mağazada aç. Suallarınız üçün- info@anacan.az,,,,
,Partnyor kodu. Həyat yoldaşınızla paylaşın.  Partnyor kodu mətni. Nələri görə bilər. Nələri edə bilər. Gizlilik mətni.,,,,
,My babies 2 uşaq. 7 ay 30 gün,,,,
,Partnyor endirimləri disable olacaq.,,,,
,Notification. Sistem. Yeni bəyənmə. X paylaşımınızı bəyəndi. Oxundu. Tarix. Yeni mesaj. 3 oxunmamış. Yeni şərh.,,,,
,Appearance. Tema seçimi. Sistem. Hal hazırda sistem teması(qaranlıq) istifadə olunurş,,,,
,Calendar settings. Tarix. Menstruasiya. Ovulyasiya. Randevu,,,,
,Gizlilik ayarları.Məlumat idarəetməsi.Gizlilik siyasətimiz və istifadə şətlərimiz haqqında ətraflı məlumat üçün click here. ,,,,
,"Help Tez-tez soruşulan suallar və cavabları. Contact us-da telefon. Həftənin günləri. Sürətli cavab üçün müraciətlər bölməsindən bilet göndərin. Tickets-də yeni müraciət göndər.Kateqoriys. Ümumi sual, texniki problem.ödəniş xüsusiyyət tələbi. Digər. Mesaj. Göndər. Ləğv et.",,,,
,Store Kateqoriyalar. Xüsusi təklif. Anacan 20 kodunu daxl edin.,,,,
Legal,Bütün kontent,,,,
Edit profile,Saxla. Əsas məlumatlar. Ad. Mərhələ. Anayam. Cinsi. Son menstruasiya tarixi. Təxmini doğuş tarixi. Hazzırda 17 həftə 6 gün. ,,,,
Settings,Sakit rejim və mətni. Dil. ,,,,
